date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:11	39816/39816	---M--	200	added ('OK')	font/ttf	date:Sun,%2030%20Oct%202016%2012:00:32%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/glyphicons-halflings-regular.ttf	(from http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css)
16:52:12	24524/24524	---M--	200	added ('OK')	font/woff	date:Sun,%2030%20Oct%202016%2012:00:34%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.woff	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.woff	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:14	56728/56728	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2030%20Oct%202016%2012:00:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.svg	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.svg	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:15	20796/20796	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.eot?	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfontd41d.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:17	461966/461966	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:01:36%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/wowslider/01.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/wowslider/01.png	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:52:18	20858/20858	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:28%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.eot	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:18	18832/18832	---M--	200	added ('OK')	font/woff2	date:Sun,%2030%20Oct%202016%2012:00:30%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.woff2	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.woff2	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:18	40368/40368	---M--	200	added ('OK')	font/ttf	date:Sun,%2030%20Oct%202016%2012:00:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.ttf	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/solomon_normal-webfont.ttf	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:19	55369/55369	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2030%20Oct%202016%2012:00:28%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.svg	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.svg	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:21	20858/20858	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Oct%202016%2012:00:28%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfont.eot?	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/fonts/dimbo_regular-webfontd41d.eot	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
